image,caption
00010.png,"""The image is of an Indian passport with the following details: The passport type is 'P', for a personal passport. The country code 'IND' stands for India. The passport number is L9585535. The surname of the passport holder is Sharma, and the given name is Kashish. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 07/04/1995. The place of birth is Malerkotla, Punjab. The passport was issued in Chandigarh on 30/05/2014, and the expiration date is 29/05/2024."","
00011.png,"""The passport type is 'P', indicating it is a personal passport. The country code is 'IND', for India. The passport number is H5036437. The surname of the passport holder is Modak and the given name is Sadique Niyaz. The nationality stated is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is listed as 01/10/1989. The place of birth is Murud. The passport was issued in Thane on 22/06/2009 and the expiration date is 21/06/2019."","
00012.png,"""The image shows an Indian passport with the following details: The type of passport is 'P', indicating a personal passport. The country code 'IND' denotes India. The passport number is H7362738. The surname of the passport holder is Kainth, and the given name is Prabhjinder Singh. The nationality is Indian. The holder's sex is male, marked as 'M'. The date of birth is 20/08/1991. The place of birth is listed as Shankar. The passport was issued in Chandigarh on 01/10/2009, with an expiration date of 30/09/2019."","
00013.png,"""The image provided is of an Indian passport with the following details: The passport type is 'P', indicating it is a personal passport. The country code 'IND' stands for India. The passport number is J7335300. The surname of the passport holder is not visible, and the given name is Jaspreet Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 24/09/1994. The place of birth is Raikot, Punjab. The passport was issued in Chandigarh on 24/05/2011, and the expiration date is 23/05/2021."","
00014.png,"""The image provided is of an Indian passport. The type of passport is 'P', indicating a personal passport. The country code 'IND' signifies India. The passport number is M0820537. The surname of the passport holder is Sharma, and the given name is Shikha. The nationality is Indian. The holder's sex is female, denoted by 'F'. The date of birth is 01/12/1985. The place of birth is Ludhiana, Punjab. The passport was issued in Chandigarh on 08/08/2014, with an expiration date of 07/08/2024."","
00015.png,"""The image shows an Indian passport with the following details: The passport type is 'P', indicating a personal passport. The country code 'IND' stands for India. The passport number is M5466403. The surname of the passport holder is Bhullar, and the given name is Kamalpreet Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 10/03/1990. The place of birth is Ferozepur, Punjab. The passport was issued in Amritsar on 13/01/2015, with an expiration date of 12/01/2025."","
00016.png,"""The image displays an Indian passport with the following details: The type of passport is 'P', signifying a personal passport. The country code 'IND' indicates India. The passport number is Z228778K. The surname of the passport holder is Ranaut, and the given name is Kangna Amardeep. The nationality is Indian. The holder's sex is female, represented by 'F'. The date of birth is 23/03/1986. The place of birth is Bhambla, Mandi, Himachal Pradesh. The passport was issued in Mumbai on 16/09/2011, with an expiration date of 15/09/2021."","
00017.png,"""The image provided shows an Indian passport with the following details: The passport type is 'P', which is for a personal passport. The country code 'IND' signifies India. The passport number is M2802054. The surname of the passport holder is Pandher, and the given name is Kamaljit Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 18/08/1993. The place of birth is Cheema, Punjab. The passport was issued in Chandigarh on 20/10/2014, with an expiration date of 19/10/2024."""
00018.png,"""The displayed image is of an Indian passport with the following details: The passport type is 'P', indicating a personal passport. The country code is 'IND' for India. The passport number is M9893722. The bearer's surname is listed as blank, which might be an error, and the given name is Simranjit Singh. The nationality is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is provided as 22/04/1996. The place of birth is Ratok Gurdwara, Punjab. This passport was issued in Amritsar on 25/05/2015, and it is set to expire on 24/05/2025."","
00019.png,"""The image shows an Indian passport with the following information: The type of passport is 'P', for a personal passport. The country code is 'IND', representing India. The passport number is J8369854. The surname of the passport holder is Ramadugula, and the given name is Sitamaha Lakshmi. The nationality is Indian, and the sex of the holder is female, denoted by 'F'. The date of birth is 23/09/1959. The place of birth is mentioned as Guntur, and the place of issue is Hyderabad. This passport was issued on 11/10/2011 and expired on 10/10/2021."","
00020.png,"""The image provided is of an Indian passport with the following details: The passport type is 'P', which stands for a personal passport. The country code 'IND' is for India. The passport number is L8809485. The surname of the passport holder is Chauhan, and the given name is Sukhvir Kaur. The nationality is Indian. The holder's sex is female, denoted by 'F'. The date of birth is 24/03/1991. The place of birth is Moga, Punjab. The passport was issued in Chandigarh on 05/05/2014 and is set to expire on 04/05/2024."","
00021.png,"""The image provided is of an Indian passport with the following information: The type of passport is denoted by 'P', which means it's a personal passport. The country code 'IND' indicates India. The passport number is N7820370. The surname of the passport holder is Kaluva, and the given name is Santhoshi. The nationality mentioned is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 09/01/1993. The place of birth is Hyderabad, Telangana. This passport was issued in Hyderabad on 15/02/2016, with an expiration date of 14/02/2026."","
00022.png,"""The image shows an Indian passport with the following details: The type is marked as 'P', indicating a personal passport. The country code is 'IND', for India. The passport number is L2741120. The surname of the holder is Deol and the given name is Pradeep Singh. The nationality is listed as Indian. The sex of the holder is male, denoted by 'M'. The date of birth is provided as 05/03/1994. The place of birth is Bopa Rai Kalan, Punjab. The passport was issued in Chandigarh on 20/06/2013 and the expiration date is listed as 19/06/2023."","
00023.png,"""The image provided is of an Indian passport featuring the following details: The passport type is 'P' for a personal passport. The country code 'IND' signifies India. The passport number is M6664736. The surname of the passport holder is Patel, and the given name is Jaydipkumar Ashokbhai. The nationality is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is listed as 09/1990, although the day is obscured. The place of birth is Lodra, Gandhinagar, Gujarat. This passport was issued in Ahmedabad on 02/03/2015 and is due to expire on 01/03/2025."","
00024.png,"""The image depicts an Indian passport with the following details: The passport type is 'P', indicating it is a personal passport. The country code 'IND' signifies India. The passport number is L9630722. The surname of the passport holder is Patel, and the given names are Hussein Mubarak. The nationality is Indian. The sex of the holder is male, indicated by 'M'. The date of birth is 30/08/1968. The place of birth is Sangli, Maharashtra. The passport was issued in Thane on 12/05/2014 and is set to expire on 11/05/2024."","
00025.png,"'The image displays an Indian passport with the following details: Type ""P"" for Personal, Country Code ""IND"" for India, Passport No. ""H9137927"". The surname of the passport holder is Alam and the given name is Maqsood. The nationality is listed as Indian. The gender (Sex) of the holder is ""M"" for male. The date of birth is presented as 14/08/1973. The place of birth is Muzaffarpur, Bihar. The issuing authority is in Delhi, with the passport issued on 18/02/2010 and an expiry date of 17/02/2020.'"
00026.png,"""The image provided is of an Indian passport with the following details: The type of passport is 'P' for a personal passport. The country code 'IND' signifies India. The passport number is J2452409. The surname of the passport holder is Kaushal, and the given name is Sukhdeep. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 20/10/1991. The place of birth is Gailb Kalan. The passport was issued in Chandigarh on 31/08/2010, with an expiration date of 30/08/2020."","
00027.png,"""The image is of an Indian passport with the following information: The passport type is 'P', representing a personal passport. The country code 'IND' stands for India. The passport number is R7123405. The surname of the passport holder is not visible, and the given names are Maqdooma Fathima. The nationality is Indian. The sex of the holder is female, denoted by 'F'. The date of birth is 23/06/1981. The place of birth is Chennai, Tamil Nadu. This passport was issued in Bengaluru on 15/12/2017, with an expiration date of 14/12/2027."","
00028.png,"""The image is of an Indian passport with the following details: The type of the passport is 'P', which stands for a personal passport. The country code 'IND' indicates India. The passport number is Z4676026. The surname of the passport holder is not visible, and the given name is Irfan. The nationality mentioned is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 31/03/1980. The place of birth is Bengaluru, Karnataka. This passport was issued in Bengaluru on 20/12/2017, and the expiration date is 19/12/2027."","
00029.png,"""The image provided shows an Indian passport with the following details: The passport type is 'P', for a personal passport. The country code 'IND' indicates India. The passport number is H6413091. The surname of the passport holder is Nagoor Gani, and the given name is Syed Musthafa. The nationality is Indian. The holder's sex is male, denoted by 'M'. The date of birth is 02/04/1987. The place of birth is Trichy, which is a short form for Tiruchirappalli. The passport was issued on 08/09/2009 and the expiration date is 07/09/2019."","
00030.png,"""The image is of an Indian passport with the following details: The type of passport is 'P' for a personal passport. The country code 'IND' represents India. The passport number is J1440791. The surname of the holder is Kahlon, and the given name is Gurvir Singh. The nationality is Indian. The holder's sex is male, denoted by 'M'. The date of birth is 19/07/1990. The place of birth is Machhiwara. The passport was issued in Chandigarh on 22/07/2010, and the expiration date is 21/07/2020."","
00031.png,"""The image displays an Indian passport with the following information: The type is 'P', indicating it's a personal passport. The country code 'IND' stands for India. The passport number is G7321732. The surname of the holder is Jhajj, and the given name is Daljeet Singh. The nationality is Indian. The holder's sex is male, marked as 'M'. The date of birth is 01/01/1989. The place of birth is Ludhiana. The passport was issued in Chandigarh on 01/02/2008 and the expiration date was 31/01/2018. The Machine Readable Zone (MRZ) at the bottom contains important encoded details including the passport number, nationality, date of birth, sex, and expiration date, formatted for electronic scanners. The passport includes the photograph and signature of Mr. Daljeet Singh Jhajj, which are used for identity verification purposes."","
00032.png,"""The image shows an Indian passport with the following details: The passport type is 'P', which indicates a personal passport. The country code 'IND' signifies India. The passport number is N2588358. The surname of the passport holder is Gilhotra, and the given name is Antriksh. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 04/12/1990. The place of birth is Fazilka, Punjab. The passport was issued in Amritsar on 01/09/2015, with an expiration date of 31/08/2025. The Machine Readable Zone (MRZ) at the bottom includes the passport number, nationality, date of birth, sex, and expiration date, all encoded for electronic scanning. The passport includes the photograph and signature of Mr. Antriksh Gilhotra, which are essential for identification."""
00033.png,"""The image displays an Indian passport with the following information: The passport type is 'P', denoting a personal passport. The country code 'IND' stands for India. The passport number is M9104700. The surname of the passport holder is Sandhu, and the given name is Gagandeep Singh. The nationality is Indian. The holder's sex is male, represented by 'M'. The date of birth is 01/02/1997. The place of birth is Gangohar, Punjab. The passport was issued in Chandigarh on 22/05/2015, with an expiration date of 21/05/2025."","
00034.png,"""The image provided is of an Indian passport with the following details: The type of passport is 'P', signifying it is a personal passport. The country code 'IND' is for India. The passport number is L8001016. The surname of the passport holder is not visible, and the given name is Talwinder Singh. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 19/06/1994. The place of birth is Bairi Kadrabad, Ferozepur, Punjab. The passport was issued in Amritsar on 24/03/2014 and has an expiration date of 23/03/2024."","
00035.png,"""The image is of an Indian passport with the following details: The passport type is 'P', for a personal passport. The country code 'IND' stands for India. The passport number is L9585535. The surname of the passport holder is Sharma, and the given name is Kashish. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 07/04/1995. The place of birth is Malerkotla, Punjab. The passport was issued in Chandigarh on 30/05/2014, and the expiration date is 29/05/2024."","
00036.png,"""The passport type is 'P', indicating it is a personal passport. The country code is 'IND', for India. The passport number is H5036437. The surname of the passport holder is Modak and the given name is Sadique Niyaz. The nationality stated is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is listed as 01/10/1989. The place of birth is Murud. The passport was issued in Thane on 22/06/2009 and the expiration date is 21/06/2019."","
00037.png,"""The image shows an Indian passport with the following details: The type of passport is 'P', indicating a personal passport. The country code 'IND' denotes India. The passport number is H7362738. The surname of the passport holder is Kainth, and the given name is Prabhjinder Singh. The nationality is Indian. The holder's sex is male, marked as 'M'. The date of birth is 20/08/1991. The place of birth is listed as Shankar. The passport was issued in Chandigarh on 01/10/2009, with an expiration date of 30/09/2019."","
00038.png,"""The image provided is of an Indian passport with the following details: The passport type is 'P', indicating it is a personal passport. The country code 'IND' stands for India. The passport number is J7335300. The surname of the passport holder is not visible, and the given name is Jaspreet Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 24/09/1994. The place of birth is Raikot, Punjab. The passport was issued in Chandigarh on 24/05/2011, and the expiration date is 23/05/2021."","
00039.png,"""The image provided is of an Indian passport. The type of passport is 'P', indicating a personal passport. The country code 'IND' signifies India. The passport number is M0820537. The surname of the passport holder is Sharma, and the given name is Shikha. The nationality is Indian. The holder's sex is female, denoted by 'F'. The date of birth is 01/12/1985. The place of birth is Ludhiana, Punjab. The passport was issued in Chandigarh on 08/08/2014, with an expiration date of 07/08/2024."","
00040.png,"""The image shows an Indian passport with the following details: The passport type is 'P', indicating a personal passport. The country code 'IND' stands for India. The passport number is M5466403. The surname of the passport holder is Bhullar, and the given name is Kamalpreet Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 10/03/1990. The place of birth is Ferozepur, Punjab. The passport was issued in Amritsar on 13/01/2015, with an expiration date of 12/01/2025."","
00041.png,"""The image displays an Indian passport with the following details: The type of passport is 'P', signifying a personal passport. The country code 'IND' indicates India. The passport number is Z228778K. The surname of the passport holder is Ranaut, and the given name is Kangna Amardeep. The nationality is Indian. The holder's sex is female, represented by 'F'. The date of birth is 23/03/1986. The place of birth is Bhambla, Mandi, Himachal Pradesh. The passport was issued in Mumbai on 16/09/2011, with an expiration date of 15/09/2021."","
00042.png,"""The image provided shows an Indian passport with the following details: The passport type is 'P', which is for a personal passport. The country code 'IND' signifies India. The passport number is M2802054. The surname of the passport holder is Pandher, and the given name is Kamaljit Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 18/08/1993. The place of birth is Cheema, Punjab. The passport was issued in Chandigarh on 20/10/2014, with an expiration date of 19/10/2024."""
00043.png,"""The displayed image is of an Indian passport with the following details: The passport type is 'P', indicating a personal passport. The country code is 'IND' for India. The passport number is M9893722. The bearer's surname is listed as blank, which might be an error, and the given name is Simranjit Singh. The nationality is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is provided as 22/04/1996. The place of birth is Ratok Gurdwara, Punjab. This passport was issued in Amritsar on 25/05/2015, and it is set to expire on 24/05/2025."","
00044.png,"""The image shows an Indian passport with the following information: The type of passport is 'P', for a personal passport. The country code is 'IND', representing India. The passport number is J8369854. The surname of the passport holder is Ramadugula, and the given name is Sitamaha Lakshmi. The nationality is Indian, and the sex of the holder is female, denoted by 'F'. The date of birth is 23/09/1959. The place of birth is mentioned as Guntur, and the place of issue is Hyderabad. This passport was issued on 11/10/2011 and expired on 10/10/2021."","
00045.png,"""The image provided is of an Indian passport with the following details: The passport type is 'P', which stands for a personal passport. The country code 'IND' is for India. The passport number is L8809485. The surname of the passport holder is Chauhan, and the given name is Sukhvir Kaur. The nationality is Indian. The holder's sex is female, denoted by 'F'. The date of birth is 24/03/1991. The place of birth is Moga, Punjab. The passport was issued in Chandigarh on 05/05/2014 and is set to expire on 04/05/2024."","
00046.png,"""The image provided is of an Indian passport with the following information: The type of passport is denoted by 'P', which means it's a personal passport. The country code 'IND' indicates India. The passport number is N7820370. The surname of the passport holder is Kaluva, and the given name is Santhoshi. The nationality mentioned is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 09/01/1993. The place of birth is Hyderabad, Telangana. This passport was issued in Hyderabad on 15/02/2016, with an expiration date of 14/02/2026."","
00047.png,"""The image shows an Indian passport with the following details: The type is marked as 'P', indicating a personal passport. The country code is 'IND', for India. The passport number is L2741120. The surname of the holder is Deol and the given name is Pradeep Singh. The nationality is listed as Indian. The sex of the holder is male, denoted by 'M'. The date of birth is provided as 05/03/1994. The place of birth is Bopa Rai Kalan, Punjab. The passport was issued in Chandigarh on 20/06/2013 and the expiration date is listed as 19/06/2023."","
00048.png,"""The image provided is of an Indian passport featuring the following details: The passport type is 'P' for a personal passport. The country code 'IND' signifies India. The passport number is M6664736. The surname of the passport holder is Patel, and the given name is Jaydipkumar Ashokbhai. The nationality is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is listed as 09/1990, although the day is obscured. The place of birth is Lodra, Gandhinagar, Gujarat. This passport was issued in Ahmedabad on 02/03/2015 and is due to expire on 01/03/2025."","
00049.png,"""The image depicts an Indian passport with the following details: The passport type is 'P', indicating it is a personal passport. The country code 'IND' signifies India. The passport number is L9630722. The surname of the passport holder is Patel, and the given names are Hussein Mubarak. The nationality is Indian. The sex of the holder is male, indicated by 'M'. The date of birth is 30/08/1968. The place of birth is Sangli, Maharashtra. The passport was issued in Thane on 12/05/2014 and is set to expire on 11/05/2024."","
00050.png,"'The image displays an Indian passport with the following details: Type ""P"" for Personal, Country Code ""IND"" for India, Passport No. ""H9137927"". The surname of the passport holder is Alam and the given name is Maqsood. The nationality is listed as Indian. The gender (Sex) of the holder is ""M"" for male. The date of birth is presented as 14/08/1973. The place of birth is Muzaffarpur, Bihar. The issuing authority is in Delhi, with the passport issued on 18/02/2010 and an expiry date of 17/02/2020.'"
00051.png,"""The image provided is of an Indian passport with the following details: The type of passport is 'P' for a personal passport. The country code 'IND' signifies India. The passport number is J2452409. The surname of the passport holder is Kaushal, and the given name is Sukhdeep. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 20/10/1991. The place of birth is Gailb Kalan. The passport was issued in Chandigarh on 31/08/2010, with an expiration date of 30/08/2020."","
00052.png,"""The image is of an Indian passport with the following information: The passport type is 'P', representing a personal passport. The country code 'IND' stands for India. The passport number is R7123405. The surname of the passport holder is not visible, and the given names are Maqdooma Fathima. The nationality is Indian. The sex of the holder is female, denoted by 'F'. The date of birth is 23/06/1981. The place of birth is Chennai, Tamil Nadu. This passport was issued in Bengaluru on 15/12/2017, with an expiration date of 14/12/2027."","
00053.png,"""The image is of an Indian passport with the following details: The type of the passport is 'P', which stands for a personal passport. The country code 'IND' indicates India. The passport number is Z4676026. The surname of the passport holder is not visible, and the given name is Irfan. The nationality mentioned is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 31/03/1980. The place of birth is Bengaluru, Karnataka. This passport was issued in Bengaluru on 20/12/2017, and the expiration date is 19/12/2027."","
00054.png,"""The image provided shows an Indian passport with the following details: The passport type is 'P', for a personal passport. The country code 'IND' indicates India. The passport number is H6413091. The surname of the passport holder is Nagoor Gani, and the given name is Syed Musthafa. The nationality is Indian. The holder's sex is male, denoted by 'M'. The date of birth is 02/04/1987. The place of birth is Trichy, which is a short form for Tiruchirappalli. The passport was issued on 08/09/2009 and the expiration date is 07/09/2019."","
00055.png,"""The image is of an Indian passport with the following details: The type of passport is 'P' for a personal passport. The country code 'IND' represents India. The passport number is J1440791. The surname of the holder is Kahlon, and the given name is Gurvir Singh. The nationality is Indian. The holder's sex is male, denoted by 'M'. The date of birth is 19/07/1990. The place of birth is Machhiwara. The passport was issued in Chandigarh on 22/07/2010, and the expiration date is 21/07/2020."","
00056.png,"""The image displays an Indian passport with the following information: The type is 'P', indicating it's a personal passport. The country code 'IND' stands for India. The passport number is G7321732. The surname of the holder is Jhajj, and the given name is Daljeet Singh. The nationality is Indian. The holder's sex is male, marked as 'M'. The date of birth is 01/01/1989. The place of birth is Ludhiana. The passport was issued in Chandigarh on 01/02/2008 and the expiration date was 31/01/2018. The Machine Readable Zone (MRZ) at the bottom contains important encoded details including the passport number, nationality, date of birth, sex, and expiration date, formatted for electronic scanners. The passport includes the photograph and signature of Mr. Daljeet Singh Jhajj, which are used for identity verification purposes."","
00057.png,"""The image shows an Indian passport with the following details: The passport type is 'P', which indicates a personal passport. The country code 'IND' signifies India. The passport number is N2588358. The surname of the passport holder is Gilhotra, and the given name is Antriksh. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 04/12/1990. The place of birth is Fazilka, Punjab. The passport was issued in Amritsar on 01/09/2015, with an expiration date of 31/08/2025. The Machine Readable Zone (MRZ) at the bottom includes the passport number, nationality, date of birth, sex, and expiration date, all encoded for electronic scanning. The passport includes the photograph and signature of Mr. Antriksh Gilhotra, which are essential for identification."""
00058.png,"""The image displays an Indian passport with the following information: The passport type is 'P', denoting a personal passport. The country code 'IND' stands for India. The passport number is M9104700. The surname of the passport holder is Sandhu, and the given name is Gagandeep Singh. The nationality is Indian. The holder's sex is male, represented by 'M'. The date of birth is 01/02/1997. The place of birth is Gangohar, Punjab. The passport was issued in Chandigarh on 22/05/2015, with an expiration date of 21/05/2025."","
00059.png,"""The image provided is of an Indian passport with the following details: The type of passport is 'P', signifying it is a personal passport. The country code 'IND' is for India. The passport number is L8001016. The surname of the passport holder is not visible, and the given name is Talwinder Singh. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 19/06/1994. The place of birth is Bairi Kadrabad, Ferozepur, Punjab. The passport was issued in Amritsar on 24/03/2014 and has an expiration date of 23/03/2024."","
00060.png,"""The image is of an Indian passport with the following details: The passport type is 'P', for a personal passport. The country code 'IND' stands for India. The passport number is L9585535. The surname of the passport holder is Sharma, and the given name is Kashish. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 07/04/1995. The place of birth is Malerkotla, Punjab. The passport was issued in Chandigarh on 30/05/2014, and the expiration date is 29/05/2024."","
00061.png,"""The passport type is 'P', indicating it is a personal passport. The country code is 'IND', for India. The passport number is H5036437. The surname of the passport holder is Modak and the given name is Sadique Niyaz. The nationality stated is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is listed as 01/10/1989. The place of birth is Murud. The passport was issued in Thane on 22/06/2009 and the expiration date is 21/06/2019."","
00062.png,"""The image shows an Indian passport with the following details: The type of passport is 'P', indicating a personal passport. The country code 'IND' denotes India. The passport number is H7362738. The surname of the passport holder is Kainth, and the given name is Prabhjinder Singh. The nationality is Indian. The holder's sex is male, marked as 'M'. The date of birth is 20/08/1991. The place of birth is listed as Shankar. The passport was issued in Chandigarh on 01/10/2009, with an expiration date of 30/09/2019."","
00063.png,"""The image provided is of an Indian passport with the following details: The passport type is 'P', indicating it is a personal passport. The country code 'IND' stands for India. The passport number is J7335300. The surname of the passport holder is not visible, and the given name is Jaspreet Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 24/09/1994. The place of birth is Raikot, Punjab. The passport was issued in Chandigarh on 24/05/2011, and the expiration date is 23/05/2021."","
00064.png,"""The image provided is of an Indian passport. The type of passport is 'P', indicating a personal passport. The country code 'IND' signifies India. The passport number is M0820537. The surname of the passport holder is Sharma, and the given name is Shikha. The nationality is Indian. The holder's sex is female, denoted by 'F'. The date of birth is 01/12/1985. The place of birth is Ludhiana, Punjab. The passport was issued in Chandigarh on 08/08/2014, with an expiration date of 07/08/2024."","
00065.png,"""The image shows an Indian passport with the following details: The passport type is 'P', indicating a personal passport. The country code 'IND' stands for India. The passport number is M5466403. The surname of the passport holder is Bhullar, and the given name is Kamalpreet Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 10/03/1990. The place of birth is Ferozepur, Punjab. The passport was issued in Amritsar on 13/01/2015, with an expiration date of 12/01/2025."","
00066.png,"""The image displays an Indian passport with the following details: The type of passport is 'P', signifying a personal passport. The country code 'IND' indicates India. The passport number is Z228778K. The surname of the passport holder is Ranaut, and the given name is Kangna Amardeep. The nationality is Indian. The holder's sex is female, represented by 'F'. The date of birth is 23/03/1986. The place of birth is Bhambla, Mandi, Himachal Pradesh. The passport was issued in Mumbai on 16/09/2011, with an expiration date of 15/09/2021."","
00067.png,"""The image provided shows an Indian passport with the following details: The passport type is 'P', which is for a personal passport. The country code 'IND' signifies India. The passport number is M2802054. The surname of the passport holder is Pandher, and the given name is Kamaljit Kaur. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 18/08/1993. The place of birth is Cheema, Punjab. The passport was issued in Chandigarh on 20/10/2014, with an expiration date of 19/10/2024."""
00068.png,"""The displayed image is of an Indian passport with the following details: The passport type is 'P', indicating a personal passport. The country code is 'IND' for India. The passport number is M9893722. The bearer's surname is listed as blank, which might be an error, and the given name is Simranjit Singh. The nationality is Indian. The sex of the holder is male, denoted by 'M'. The date of birth is provided as 22/04/1996. The place of birth is Ratok Gurdwara, Punjab. This passport was issued in Amritsar on 25/05/2015, and it is set to expire on 24/05/2025."","
